,Date,Confirmed,Deaths,Cured,Active
0,2020-01-30,1,0,0,1
1,2020-01-31,1,0,0,1
2,2020-02-01,2,0,0,2
3,2020-02-02,3,0,0,3
4,2020-02-03,3,0,0,3
5,2020-02-04,3,0,0,3
6,2020-02-05,3,0,0,3
7,2020-02-06,3,0,0,3
8,2020-02-07,3,0,0,3
9,2020-02-08,3,0,0,3
10,2020-02-09,3,0,0,3
11,2020-02-10,3,0,0,3
12,2020-02-11,3,0,0,3
13,2020-02-12,3,0,0,3
14,2020-02-13,3,0,0,3
15,2020-02-14,3,0,0,3
16,2020-02-15,3,0,0,3
17,2020-02-16,3,0,0,3
18,2020-02-17,3,0,0,3
19,2020-02-18,3,0,0,3
20,2020-02-19,3,0,0,3
21,2020-02-20,3,0,0,3
22,2020-02-21,3,0,0,3
23,2020-02-22,3,0,0,3
24,2020-02-23,3,0,0,3
25,2020-02-24,3,0,0,3
26,2020-02-25,3,0,0,3
27,2020-02-26,3,0,0,3
28,2020-02-27,3,0,0,3
29,2020-02-28,3,0,0,3
30,2020-02-29,3,0,0,3
31,2020-03-01,3,0,0,3
32,2020-03-02,5,0,0,5
33,2020-03-03,6,0,3,3
34,2020-03-04,28,0,3,25
35,2020-03-05,30,0,3,27
36,2020-03-06,31,0,3,28
37,2020-03-07,34,0,3,31
38,2020-03-08,39,0,3,36
39,2020-03-09,46,0,3,43
40,2020-03-10,58,0,3,55
41,2020-03-11,60,0,3,57
42,2020-03-12,74,0,3,71
43,2020-03-13,81,1,3,77
44,2020-03-14,84,2,10,72
45,2020-03-15,110,2,13,95
46,2020-03-16,114,2,13,99
47,2020-03-17,137,3,14,120
48,2020-03-18,151,3,14,134
49,2020-03-19,173,4,20,149
50,2020-03-20,223,4,23,196
51,2020-03-21,283,4,23,256
52,2020-03-22,360,7,24,329
53,2020-03-23,433,7,24,402
54,2020-03-24,519,9,40,470
55,2020-03-25,606,10,43,553
56,2020-03-26,694,15,45,634
57,2020-03-27,724,17,67,640
58,2020-03-28,909,19,80,810
59,2020-03-29,1024,27,96,901
60,2020-03-30,1251,31,102,1118
61,2020-03-31,1397,35,124,1238
62,2020-04-01,1834,41,144,1649
63,2020-04-02,2069,53,156,1860
64,2020-04-03,2547,62,163,2322
65,2020-04-04,3072,75,213,2784
66,2020-04-05,3577,83,275,3219
67,2020-04-06,4281,111,319,3851
68,2020-04-07,4789,124,353,4312
69,2020-04-08,5274,149,411,4714
70,2020-04-09,5865,169,478,5218
71,2020-04-10,6761,206,516,6039
72,2020-04-11,7529,242,653,6634
73,2020-04-12,8447,273,765,7409
74,2020-04-13,9352,324,980,8048
75,2020-04-14,10815,353,1190,9272
76,2020-04-15,11933,392,1344,10197
77,2020-04-16,12759,420,1515,10824
78,2020-04-17,13835,452,1767,11616
79,2020-04-18,14792,488,2015,12289
80,2020-04-19,16116,519,2302,13295
81,2020-04-20,17656,559,2842,14255
82,2020-04-21,18985,603,3260,15122
